zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
21,15000,"Brentwood, Arran Lakes and Ducks Landing",Sexual Assault,225,317,243,245,236,270,246,208,194,183,193,173,160,78,157,526,175.3,-12.6,-14.2,-1.9,-10,1220,1286.7,1153.3,1066.7,1046.7,1168.7
22,6800,Murchison Road,Sexual Assault,161,163,143,151,129,168,173,140,127,91,124,106,123,54,114,353,117.7,35.2,25.3,-7.3,-3,1338.2,1823.5,1558.8,1808.8,1676.5,1730.9
23,5000,Hickory Grove and Bluewood Springs,Sexual Assault,61,76,63,64,73,67,68,59,62,57,39,47,46,19,48,132,44,-19.3,-15.8,4.3,9,1140,780,940,920,960,880
24,7400,Stoney Point Road,Sexual Assault,61,51,63,73,70,64,61,60,58,58,61,42,54,19,51,157,52.3,-6.9,-12.1,-5.6,-2,783.8,824.3,567.6,729.7,689.2,706.8
25,10600,Lake Rim,Sexual Assault,161,182,184,231,223,175,194,165,134,132,126,131,129,63,130,386,128.7,-2.3,-1.5,0.8,1,1245.3,1188.7,1235.8,1217,1226.4,1214.2
26,13300,Hoke Loop Road,Sexual Assault,134,151,152,151,141,126,134,150,118,98,92,87,98,49,101,277,92.3,0,3.1,3.1,9,736.8,691.7,654.1,736.8,759.4,694
AP,0,Airport,Sexual Assault,2,0,1,2,1,1,3,0,1,2,2,2,1,0,1,5,1.7,-50,-50,0,-41,NA,NA,NA,NA,NA,NA
ALPH,NA,NA,Sexual Assault,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRAV,NA,NA,Sexual Assault,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C10,NA,NA,Sexual Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFPD,NA,NA,Sexual Assault,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHAR,NA,NA,Sexual Assault,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA
CNT,NA,NA,Sexual Assault,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELT,NA,NA,Sexual Assault,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAS,NA,NA,Sexual Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECHO,NA,NA,Sexual Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOXT,NA,NA,Sexual Assault,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOLF,NA,NA,Sexual Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM1,NA,NA,Sexual Assault,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM3,NA,NA,Sexual Assault,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOTE,NA,NA,Sexual Assault,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,0.3,NA,NA,100,567,NA,NA,NA,NA,NA,NA
INDI,NA,NA,Sexual Assault,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO2,NA,NA,Sexual Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO3,NA,NA,Sexual Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO5,NA,NA,Sexual Assault,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO6,NA,NA,Sexual Assault,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO7,NA,NA,Sexual Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO9,NA,NA,Sexual Assault,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unknown,NA,NA,Sexual Assault,1,46,96,61,43,81,58,10,12,14,14,11,7,9,15,32,10.7,-50,7.1,114.3,40,NA,NA,NA,NA,NA,NA
