zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,2026,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
07,3600,Haymount,Aggravated Assault,14,19,18,12,12,10,24,20,30,25,19,21,28,19,8,5,7,11,68,22.7,12,-56,-60.7,-52,694.4,527.8,583.3,777.8,305.6,630.6
07,3600,Haymount,Burglary,72,85,99,63,60,45,41,37,44,36,34,22,41,28,19,20,7,16,97,32.3,13.9,-55.6,-61,-50,1000,944.4,611.1,1138.9,444.4,897.2
07,3600,Haymount,Motor Vehicle Theft,11,15,8,10,10,5,6,4,2,6,5,9,8,12,7,9,3,11,22,7.3,33.3,83.3,37.5,51,166.7,138.9,250,222.2,305.6,202.8
07,3600,Haymount,Murder,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0.3,0,-100,-100,-100,27.8,0,0,27.8,0,8.3
07,3600,Haymount,Other/Unknown,170,191,154,178,164,136,180,150,116,92,82,95,124,98,98,117,39,108,301,100.3,34.8,17.4,-12.9,8,2555.6,2277.8,2638.9,3444.4,3000,2786.1
07,3600,Haymount,Robbery,7,10,8,7,5,8,5,7,3,5,2,4,2,0,1,5,2,3,8,2.7,-60,-40,50,11,138.9,55.6,111.1,55.6,83.3,75
07,3600,Haymount,Theft,111,166,114,117,96,78,122,90,67,110,64,46,61,71,72,55,13,46,171,57,-44.5,-58.2,-24.6,-19,3055.6,1777.8,1277.8,1694.4,1277.8,1583.3
08,5900,Edenroc and Greenwood Homes,Aggravated Assault,19,12,20,26,16,17,27,30,33,32,44,36,42,35,29,29,6,18,122,40.7,31.2,-43.8,-57.1,-56,542.4,745.8,610.2,711.9,305.1,689.8
08,5900,Edenroc and Greenwood Homes,Burglary,152,136,246,143,97,71,79,74,55,54,52,40,42,54,27,36,9,22,134,44.7,-22.2,-59.3,-47.6,-51,915.3,881.4,678,711.9,372.9,757.6
08,5900,Edenroc and Greenwood Homes,Motor Vehicle Theft,28,40,48,28,23,24,15,13,18,17,31,26,14,41,16,16,5,14,71,23.7,-17.6,-17.6,0,-41,288.1,525.4,440.7,237.3,237.3,401.7
08,5900,Edenroc and Greenwood Homes,Murder,2,0,0,1,1,1,1,1,0,0,2,1,0,1,0,2,0,2,3,1,NA,NA,NA,100,0,33.9,16.9,0,33.9,16.9
08,5900,Edenroc and Greenwood Homes,Other/Unknown,367,410,360,383,343,303,276,295,218,226,258,224,248,203,183,215,84,199,730,243.3,9.7,-11.9,-19.8,-18,3830.5,4372.9,3796.6,4203.4,3372.9,4123.7
08,5900,Edenroc and Greenwood Homes,Robbery,31,23,26,37,37,17,15,12,8,13,10,19,3,11,4,13,5,14,32,10.7,-76.9,7.7,366.7,31,220.3,169.5,322,50.8,237.3,181.4
08,5900,Edenroc and Greenwood Homes,Theft,286,327,316,314,252,274,262,181,162,202,222,187,232,186,165,118,62,129,641,213.7,14.9,-36.1,-44.4,-40,3423.7,3762.7,3169.5,3932.2,2186.4,3622
09,5200,Green Valley Estates and Kornbow,Aggravated Assault,16,22,15,16,23,29,32,38,45,57,39,43,37,33,33,55,8,47,119,39.7,-35.1,-17.5,27,18,1096.2,750,826.9,711.5,903.8,763.5
09,5200,Green Valley Estates and Kornbow,Burglary,142,151,142,107,106,66,81,64,52,50,53,36,47,35,27,58,14,49,136,45.3,-6,-2,4.3,8,961.5,1019.2,692.3,903.8,942.3,871.2
09,5200,Green Valley Estates and Kornbow,Motor Vehicle Theft,28,23,32,29,20,26,17,7,12,20,14,20,15,19,30,30,7,24,49,16.3,-25,20,60,47,384.6,269.2,384.6,288.5,461.5,313.5
09,5200,Green Valley Estates and Kornbow,Murder,0,1,2,1,0,0,1,1,2,0,3,2,0,0,0,2,0,2,5,1.7,NA,NA,NA,18,0,57.7,38.5,0,38.5,32.7
09,5200,Green Valley Estates and Kornbow,Other/Unknown,341,402,322,389,383,332,376,297,329,288,335,259,292,251,226,260,93,255,886,295.3,1.4,-11.5,-12.7,-14,5538.5,6442.3,4980.8,5615.4,4903.8,5678.8
09,5200,Green Valley Estates and Kornbow,Robbery,30,24,21,37,21,24,19,14,16,18,24,15,10,14,5,9,2,8,49,16.3,-44.4,-55.6,-20,-51,346.2,461.5,288.5,192.3,153.8,313.5
09,5200,Green Valley Estates and Kornbow,Theft,316,401,299,332,253,298,218,194,140,221,250,201,207,253,241,182,61,176,658,219.3,-6.3,-20.4,-15,-20,4250,4807.7,3865.4,3980.8,3384.6,4217.3
10,3800,Kirkwood,Aggravated Assault,13,5,11,10,12,6,17,21,35,21,34,39,38,16,15,19,5,11,111,37,81,-47.6,-71.1,-70,552.6,894.7,1026.3,1000,289.5,973.7
10,3800,Kirkwood,Burglary,121,124,119,105,58,54,45,27,23,22,47,42,25,22,16,16,3,8,114,38,13.6,-63.6,-68,-79,578.9,1236.8,1105.3,657.9,210.5,1000
10,3800,Kirkwood,Motor Vehicle Theft,29,20,41,43,40,24,9,14,12,9,12,23,32,16,15,14,3,10,67,22.3,255.6,11.1,-68.8,-55,236.8,315.8,605.3,842.1,263.2,586.8
10,3800,Kirkwood,Murder,0,1,1,0,2,0,0,1,0,0,0,2,0,1,0,0,1,1,2,0.7,NA,NA,NA,43,0,0,52.6,0,26.3,18.4
10,3800,Kirkwood,Other/Unknown,267,307,305,446,411,481,470,469,422,392,370,378,380,248,155,234,49,205,1128,376,-3.1,-47.7,-46.1,-45,10315.8,9736.8,9947.4,10000,5394.7,9894.7
10,3800,Kirkwood,Robbery,14,17,17,23,31,21,25,16,18,9,12,20,10,13,4,3,1,4,42,14,11.1,-55.6,-60,-71,236.8,315.8,526.3,263.2,105.3,368.4
10,3800,Kirkwood,Theft,319,270,306,684,753,690,689,581,417,461,350,276,347,243,114,113,28,87,973,324.3,-24.7,-81.1,-74.9,-73,12131.6,9210.5,7263.2,9131.6,2289.5,8534.2
11,1100,Downtown Fayetteville,Aggravated Assault,27,23,27,17,24,32,31,28,35,32,39,50,54,38,44,51,11,39,143,47.7,68.8,21.9,-27.8,-18,2909.1,3545.5,4545.5,4909.1,3545.5,4336.4
11,1100,Downtown Fayetteville,Burglary,85,62,59,54,66,26,51,27,41,33,39,36,34,33,34,10,12,16,109,36.3,3,-51.5,-52.9,-56,3000,3545.5,3272.7,3090.9,1454.5,3300
11,1100,Downtown Fayetteville,Motor Vehicle Theft,15,21,19,18,21,28,16,12,15,15,18,8,12,24,25,14,6,12,38,12.7,-20,-20,0,-6,1363.6,1636.4,727.3,1090.9,1090.9,1154.5
11,1100,Downtown Fayetteville,Murder,1,0,3,1,2,2,3,2,0,4,1,2,1,1,1,0,0,0,4,1.3,-75,-100,-100,-100,363.6,90.9,181.8,90.9,0,118.2
